Restaurent name,Cuisine types,Rating,Price,Distance,Location
Goli Vada Pav No. 1,Street Food,4.0,₹100 for two,7 km,"Sikandra, Agra"
Jain Restaurant,"North Indian, South Indian",4.2,₹500 for two,3.3 km,"Shahganj, Agra"
Mansion- Tapas & CL Club,"North Indian, Asian, Italian, Chinese, Sushi, Biryani, Desserts, Beverages",3.9,"₹3,500 for two",1.8 km,"Rakabganj, Agra"
Bapu Dhaba,North Indian,3.2,₹400 for two,4.1 km,"Kuberpur, Agra"
Spicy Cottage Cafe & Restaurant,"South Indian, Pizza, Sandwich, Fast Food, Shake, Chinese, Beverages",-,₹300 for two,7.9 km,"Sikandra, Agra"
Apna Zaika Restaurant & Cafe,"North Indian, South Indian, Chinese, Street Food, Pizza, Burger, Fast Food, Shake",New,₹300 for two,4 km,"Khandari, Agra"
Play Safari Cafe,"Italian, Chinese, North Indian, Beverages",4.5,₹500 for two,2.9 km,"Civil Lines, Agra"
Lakshmi Vilas,"South Indian, Chinese, Tea, Shake, Desserts",3.9,₹500 for two,2.4 km,"Agra Cantt, Agra"
Ram Chinese Food Corner,Chinese,-,₹300 for two,2.5 km,"Civil Lines, Agra"
Waffle World,"Waffle, Desserts, Beverages",-,₹400 for two,5.7 km,"Lohamandi, Agra"
Liquid Lounge Bar - Taj Hotel & Convention Centre,Finger Food,4.3,"₹2,500 for two",4.3 km,"Taj Hotel & Convention Centre, Tajganj, Agra"
Food Stock Xchange,"Chinese, Rolls, North Indian, Biryani, Mughlai, Fast Food",4.0,"₹1,000 for two",3.8 km,"Tajganj, Agra"
Sky Grill - Grand Mercure (An Accor Hotel),"North Indian, Continental, Beverages",4.2,"₹3,200 for two",3.8 km,"Crystal Sarovar Premier, Tajganj, Agra"
Bullet Adda,"Continental, Fast Food, Beverages, Desserts, North Indian, Chinese",4.1,"₹1,300 for two",6.3 km,"Sikandra, Agra"
Mama  Bhojanalya,"Healthy Food, North Indian, Fast Food",-,₹400 for two,4.8 km,"Kamla Nagar, Agra"
Yadav Dhaba,North Indian,4.0,₹200 for two,2.8 km,"Lohamandi, Agra"
Kuvira Tea And Cafe,"Burger, Pizza, Sandwich, Fast Food, Street Food, Tea, Shake, Beverages",-,₹200 for two,3.9 km,"Trans Yamuna, Agra"
Bistro OG,"Pizza, Burger, Sandwich, Fast Food, Street Food, Ice Cream, Shake, Beverages",-,₹350 for two,4.4 km,"Tajganj, Agra"
What The Food,"Chinese, Rolls, Momos, Burger, Fast Food, Shawarma",3.5,₹400 for two,3.5 km,"Civil Lines, Agra"
Chimmanlal Puri Wale-Chhoti Dukaan,"North Indian, Street Food",4.7,₹200 for two,417 m,"Mantola, Agra"
D Jail House Restaurant,"Awadhi, Chinese, Mughlai, North Indian, Beverages",3.9,"₹1,000 for two",7.2 km,"Sikandra, Agra"
Agarwal Restaurant Sweets And Dairy,"North Indian, South Indian, Fast Food, Desserts, Chinese, Beverages",4.0,₹500 for two,6 km,"Shahganj, Agra"
Sips And Bites,"Sandwich, Burger, Pizza, Fast Food, Shake, North Indian",3.8,₹300 for two,3.2 km,"Lohamandi, Agra"
Sher - E - Punjab Restaurant,North Indian,4.1,₹600 for two,3.3 km,"Kamla Nagar, Agra"
Deviram Sweets & Food Plaza,"Mithai, North Indian, Fast Food, Chinese, South Indian, Biryani",4.0,₹450 for two,4 km,"Tajganj, Agra"
Krishiv Khana Khazana,"North Indian, Chinese, South Indian, Fast Food, Shake, Beverages",New,₹350 for two,4.8 km,"Dayal Bagh, Agra"
Tomars Hygiene Kitchen,"North Indian, Mughlai",4.1,₹600 for two,3.2 km,"Tajganj, Agra"
Soami's Rasoi,"North Indian, Chinese, Fast Food, South Indian",4.2,"₹1,000 for two",4 km,"Dayal Bagh, Agra"
Tirupati's Dosa Factory,"South Indian, Chinese, Beverages",4.1,₹500 for two,3.1 km,"Civil Lines, Agra"
Tapas - Jaypee Palace Hotel,"North Indian, Finger Food, Bar Food, Beverages",3.9,"₹2,000 for two",4.4 km,"Jaypee Palace Hotel, Tajganj, Agra"
Apna Zaika Restaurant And Cafe,"North Indian, South Indian, Chinese, Pizza, Fast Food, Street Food, Shake, Beverages",New,₹300 for two,4 km,"Khandari, Agra"
Awadhi Foods,"North Indian, Rolls, Mughlai",4.2,₹400 for two,2.5 km,"Civil Lines, Agra"
BON BARBECUE,"North Indian, Chinese, Continental, Seafood, Desserts",4.2,"₹1,600 for two",4.2 km,"Tajganj, Agra"
Mero Vrindavan Fast Foods,Fast Food,New,₹300 for two,2.3 km,"Lohamandi, Agra"
3 Idiots Family Restaurant,"North Indian, Chinese, Pizza, Fast Food, Street Food, Beverages",New,₹400 for two,4.4 km,"Gopal Pura, Agra"
Moon Light Punjabi Restaurant,"North Indian, South Indian, Chinese",4.1,₹300 for two,7.3 km,"Sikandra, Agra"
Shree Balaji Maharaj Dhaba & Family Restaurant,North Indian,New,₹300 for two,3.8 km,"Trans Yamuna, Agra"
Hotel Jai Hind & Restaurant,"North Indian, Mughlai, Fast Food",4.3,₹500 for two,2.6 km,"Agra Cantt, Agra"
Rose Bud Cafe,"Fast Food, Pizza, Burger, Sandwich, Wraps, Pasta, Beverages, Bakery",-,₹400 for two,5.7 km,"Lohamandi, Agra"
Taj Bano - ITC Mughal,"Mughlai, North Indian",4.1,"₹3,000 for two",3.2 km,"ITC Mughal, Tajganj, Agra"
The Royal Bistro,"North Indian, Shake, Beverages",3.9,₹300 for two,3.3 km,"Civil Lines, Agra"
Yadav Dhaba,North Indian,3.3,₹350 for two,2.8 km,"Civil Lines, Agra"
The Park Restaurant,"North Indian, Chinese, Continental, Mughlai, Beverages, Biryani",3.5,₹800 for two,2.5 km,"Agra Cantt, Agra"
Sheesh Mahal - Mansingh Palace,"North Indian, Chinese, Continental",3.8,"₹1,800 for two",2.5 km,"Mansingh Palace, Tajganj, Agra"
Celebration Restaurant,"Chinese, North Indian, Street Food, South Indian, Desserts, Continental, Pizza, Beverages",3.9,"₹1,000 for two",3.9 km,"Kamla Nagar, Agra"
Ashoka Bar,North Indian,4.4,"₹1,000 for two",2.7 km,"Civil Lines, Agra"
Zaaki Crystal Club And restaurant,"North Indian, Beverages, Chinese, Street Food",-,₹600 for two,3.8 km,"Kamla Nagar, Agra"
Maa Vaishno Restaurant,North Indian,3.8,₹300 for two,5.4 km,"Tajganj, Agra"
Romo's Junction,"North Indian, Pizza, Chinese, Momos, Rolls",3.2,₹400 for two,7 km,"Sikandra, Agra"
The Charcoal Chimney Restaurant,"North Indian, Chinese, Fast Food",-,"₹1,100 for two",3.7 km,"Tajganj, Agra"
Mughchi Mughlai & Chinese,"North Indian, Mughlai",-,"₹1,000 for two",1.2 km,"Civil Lines, Agra"
Ravi Patties & Mocktail Point,Street Food,4.1,₹100 for two,3.3 km,"Lohamandi, Agra"
Sri Dauji's Chatpataa,"North Indian, South Indian, Chinese, Fast Food, Beverages, Desserts",3.9,₹500 for two,3.5 km,"Kamla Nagar, Agra"
Shalimar Dhaba Veg And Non Veg,"Mughlai, North Indian",-,₹500 for two,3.9 km,"Trans Yamuna, Agra"
Bhagat Halwai,"Mithai, Fast Food, North Indian",3.9,₹300 for two,4.6 km,"Khandari, Agra"
Shubh Anand Hi Anand Bhojnalaya,North Indian,3.6,₹250 for two,2.7 km,"Civil Lines, Agra"
Dosa Factory,South Indian,3.5,₹300 for two,6.9 km,"Sikandra, Agra"
Gyani Dhaba,North Indian,3.7,₹200 for two,5.9 km,"Dayal Bagh, Agra"
Sardar Ji Da Dhaba,North Indian,3.7,₹400 for two,3.4 km,"Agra Cantt, Agra"
Manohar Lal Daulat Ram Garg Gajak Wale,Mithai,4.0,₹300 for two,5.6 km,"Sikandra, Agra"
Ratan Pizza,"Pizza, Fast Food, Bakery",4.0,₹500 for two,3.3 km,"Khandari, Agra"
Spicy Wonder,"North Indian, Fast Food, Chinese, Continental",3.7,₹700 for two,3.3 km,"Kamla Nagar, Agra"
Level 4 Rooftop,"North Indian, Continental, Pizza, Asian, Beverages",4.0,₹600 for two,4.3 km,"Tajganj, Agra"
The Momo Corner,"Momos, Chinese, Beverages",4.2,₹300 for two,3.8 km,"Kamla Nagar, Agra"
THK- Tomars Hygiene Kitchen,"North Indian, Biryani, Chinese",3.9,₹900 for two,3.3 km,"Tajganj, Agra"
Pizza Hub,"Pizza, Fast Food",4.2,₹300 for two,4 km,"Shahganj, Agra"
Roofmates,"North Indian, Chinese, Kebab, Biryani, Fast Food, BBQ, Street Food",4.2,"₹1,100 for two",7.2 km,"Sikandra, Agra"
Jam House Cafe,"Cafe, Fast Food",3.9,₹500 for two,3.1 km,"Tajganj, Agra"
Daddy Plz,"North Indian, Fast Food, Chinese, Momos, South Indian, Shake, Beverages",3.8,₹400 for two,6.4 km,"Shahganj, Agra"
The Big Bun,"Fast Food, Burger, Desserts, Bakery",3.4,₹300 for two,3.6 km,"Civil Lines, Agra"
Pape Ka Dhabha,"North Indian, Mughlai",4.3,₹350 for two,910 m,"Mantola, Agra"
Shankara Vegis Restaurant,"North Indian, Fast Food, Desserts, Juices, Shake",3.2,₹400 for two,2.5 km,"Tajganj, Agra"
Kings Spoon - Bhawna Clarks Inn,"North Indian, Chinese, Continental",3.3,"₹1,500 for two",5.6 km,"Sikandra, Agra"
The Divine Delight,"Chinese, South Indian, Continental, North Indian, Beverages",3.7,"₹1,000 for two",4.6 km,"Khandari, Agra"
Cafe Coffee Day,"Cafe, Coffee, Tea, Fast Food, Desserts, Beverages, Sandwich, Shake",3.5,₹750 for two,2.8 km,"Civil Lines, Agra"
Onyx Bar,"Bar Food, Coffee",-,"₹3,500 for two",4.7 km,"Tajganj, Agra"
Tea Coffee And Snacks,"North Indian, Fast Food, Street Food, Beverages",4.1,₹400 for two,3.2 km,"Lohamandi, Agra"
Om Sai Food Court,"Fast Food, Street Food",3.7,₹100 for two,5.9 km,"Dayal Bagh, Agra"
The Bar- The Oberoi Amarvilas,"Bar Food, North Indian",-,"₹4,000 for two",3.2 km,"Tajganj, Agra"
Om Restaurant,"North Indian, South Indian",3.8,₹250 for two,1.5 km,"Rakabganj, Agra"
TOS - Taste Of Shawarma,"Shawarma, Fast Food",3.6,₹300 for two,3.3 km,"Civil Lines, Agra"
The Orbit Gastro Pub,"North Indian, Mughlai, Continental, Biryani, Chinese, Sushi, Momos, Desserts",New,"₹1,000 for two",7 km,"Sikandra, Agra"
Dilshad Biryani,Biryani,4.2,₹300 for two,1.8 km,"Mantola, Agra"
Esphahan - The Oberoi Amarvilas,"North Indian, Biryani, Desserts, Kebab",4.9,"₹5,800 for two",3.3 km,"The Oberoi Amarvilas, Tajganj, Agra"
Panchi Petha,Mithai,3.6,₹400 for two,4.4 km,"Tajganj, Agra"
Om Sai Ram Bhojnalaya,North Indian,3.5,₹200 for two,5.2 km,"Khandari, Agra"
The Greener Side,"Cafe, Fast Food, Burger, Sandwich, Desserts, Beverages, Waffle",-,₹600 for two,2.9 km,"Khandari, Agra"
First Floor Cafe,"Coffee, Shake, Desserts, Beverages",3.9,₹500 for two,3.9 km,"Khandari, Agra"
Good Vibes Cafe,"North Indian, Mughlai, Street Food, Fast Food, Continental, Desserts, Beverages",3.2,₹400 for two,3.8 km,"Tajganj, Agra"
Shayhub,"Fast Food, Beverages, Pizza, Sandwich",4.0,₹200 for two,3.8 km,"Kamla Nagar, Agra"
Cafe Double Shot,"Cafe, Coffee, Fast Food, Beverages, Chinese",4.2,₹600 for two,1.4 km,"Rakabganj, Agra"
Sapna Bar-Be-Que,"North Indian, Rolls, Beverages",3.9,₹500 for two,2.8 km,"Tajganj, Agra"
Om Bhojanalaya,North Indian,4.0,₹400 for two,2.5 km,"Agra Cantt, Agra"
Metro Bar,Bar Food,3.9,"₹1,500 for two",2.7 km,"Hotel Metro, Civil Lines, Agra"
Chota Mama Chicken & Mama Veg,"North Indian, Chinese, Rolls, Biryani, Mughlai",3.2,₹500 for two,7 km,"Sikandra, Agra"
New Pari Family Restaurant,North Indian,2.5,₹300 for two,7.6 km,"Sikandra, Agra"
Satkar Pastries,"Pizza, Desserts, Fast Food",3.8,₹400 for two,2.4 km,"Civil Lines, Agra"
Labbaik Chicken Corner,"North Indian, Mughlai",3.8,₹600 for two,1.8 km,"Mantola, Agra"
Qaisar Bagh Restaurant,"North Indian, Mughlai, Chinese, Continental, Fast Food",4.0,"₹1,400 for two",2.2 km,"Tajganj, Agra"
Hunger Point Cafe And Restaurant,"North Indian, Sandwich, Pizza, Burger, Rolls, Fast Food, Street Food, Beverages",4.0,₹300 for two,3.5 km,"Tajganj, Agra"
The Chef's Club,"North Indian, South Indian, Mughlai, Chinese, Continental, Fast Food, Desserts, Beverages",3.8,"₹1,100 for two",4.3 km,"Tajganj, Agra"
Cake & More,"Shake, Fast Food, Beverages, Pizza, Desserts",3.9,₹400 for two,3.9 km,"Kamla Nagar, Agra"
Nijam Khan Chicken Biryani Shop,Biryani,3.5,₹200 for two,5.3 km,"Agra Cantt, Agra"
The Tea Lounge - Jaypee Palace Hotel,Tea,3.8,"₹1,300 for two",4.2 km,"Jaypee Palace Hotel, Tajganj, Agra"
Ekaa Villa,North Indian,4.3,₹700 for two,4.3 km,"Tajganj, Agra"
Bhagwati Dhaba,North Indian,4.0,₹200 for two,9.7 km,"Sikandra, Agra"
Deviram Royal Restaurant,"North Indian, Chinese, Fast Food, Beverages, Continental",3.7,₹400 for two,1.8 km,"Rakabganj, Agra"
Sher-E-Punjab Dhaba,"North Indian, Beverages, Street Food",4.1,₹300 for two,4 km,"Tajganj, Agra"
Giani Ice Cream,"Desserts, Ice Cream",4.8,₹300 for two,2.5 km,"Agra Cantt, Agra"
Yadav Dhaba Purana,North Indian,3.9,₹300 for two,2.7 km,"Civil Lines, Agra"
Navratan Fast Food & Restaurant,"North Indian, South Indian, Fast Food, Shake, Street Food, Beverages",4.1,₹500 for two,4 km,"Khandari, Agra"
Anjali's Kitchen,"North Indian, Chinese, Fast Food",3.6,₹300 for two,8.4 km,"Sikandra, Agra"
Flavours Restaurant,"North Indian, Chinese, Fast Food, South Indian, Desserts",4.2,"₹1,000 for two",2.6 km,"Civil Lines, Agra"
Brijwasi Sweet House & Restaurant,"North Indian, Chinese, South Indian, Desserts, Mithai, Beverages",3.7,₹500 for two,2.5 km,"Agra Cantt, Agra"
First Chai,"Tea, Street Food, Fast Food, Shake",4.0,₹400 for two,7.7 km,"Sikandra, Agra"
Parinda Sky Disc And Lounge,"North Indian, Mughlai, Chinese, Fast Food",3.9,"₹1,500 for two",5.9 km,"Khandari, Agra"
Laziz Pizza,"Pizza, Burger, Fast Food",3.6,₹350 for two,3.3 km,"Civil Lines, Agra"
Pizza Star - The Italian Food Corner,"Pizza, Fast Food",3.8,₹400 for two,6.5 km,"Shahganj, Agra"
Pizza Pasta Day,"Pizza, Pasta, Fast Food, Beverages",3.8,₹300 for two,3.8 km,"Tajganj, Agra"
Baskin Robbins - Ice Cream Desserts,"Ice Cream, Desserts, Beverages",3.6,₹400 for two,4 km,"Khandari, Agra"
Sathvik Padukone South Indian Dosa Corner,South Indian,3.7,₹200 for two,3.2 km,"Agra Cantt, Agra"
Panchhi Petha Namkeen,"Mithai, Desserts",3.9,₹200 for two,8.7 km,"Tajganj, Agra"
The Briston Kitchen,"North Indian, Fast Food, Chinese, Momos",3.9,₹600 for two,3.5 km,"Tajganj, Agra"
Hotel Poonam Plaza,"North Indian, Chinese",4.0,"₹1,200 for two",4.1 km,"Dayal Bagh, Agra"
EATCO.,"North Indian, Fast Food, Mughlai, Rolls, Shawarma",3.6,₹350 for two,3.7 km,"Khandari, Agra"
Nandani Red Crystal Restaurant,"South Indian, North Indian, Chinese, Continental, Fast Food, Street Food, Beverages",4.1,₹450 for two,9.8 km,"Sikandra, Agra"
Goverdhan Bakery,"Bakery, Fast Food, Desserts",4.4,₹400 for two,3.1 km,"Shahganj, Agra"
Savoury Street Food,"South Indian, North Indian, Chinese, Shake",3.8,₹350 for two,4.2 km,"Shahganj, Agra"
Chizza & Pizza,"Pizza, Burger, Sandwich, Rolls, Pasta, Fast Food",3.9,₹500 for two,3.3 km,"Tajganj, Agra"
Ichchha Veg Biryani & Fast Food,Biryani,3.9,₹100 for two,5.7 km,"Lohamandi, Agra"
The Masterchef Restaurant,"Street Food, Fast Food, Italian",3.7,₹700 for two,2.5 km,"Tajganj, Agra"
Al Barkat Family Restaurant,"North Indian, Rolls, Chinese",-,₹700 for two,3.5 km,"Tajganj, Agra"
Talk Of The Town,"North Indian, Chinese, Pizza, Fast Food, Desserts, Beverages",3.6,"₹1,400 for two",2.7 km,"Kamla Nagar, Agra"
Kebab - E - Que,"Kebab, North Indian, Mughlai, Biryani, Desserts, Beverages",4.3,"₹3,000 for two",4.3 km,"DoubleTree by Hilton Hotel Agra, Tajganj, Agra"
Gaurav Chinese Corner,Chinese,4.0,₹150 for two,2.6 km,"Civil Lines, Agra"
Cake House,"Bakery, Fast Food, Beverages",3.6,₹400 for two,3.8 km,"Kamla Nagar, Agra"
Honeydew Restaurant,"North Indian, Chinese, South Indian, Street Food",4.1,₹400 for two,4.8 km,"Dayal Bagh, Agra"
Mama Mutton Chicken Bhandhar,North Indian,3.7,₹200 for two,5.1 km,"Khandari, Agra"
Wahid Biryani,"Biryani, North Indian, Mughlai",3.6,₹400 for two,2.2 km,"Tajganj, Agra"
Shree Dauji Sweets,"Mithai, Street Food, Fast Food, North Indian",4.1,₹200 for two,3.9 km,"Kamla Nagar, Agra"
Pandit Bhojnalaya,North Indian,3.4,₹350 for two,5.2 km,"Khandari, Agra"
Mark's Cafe,"Chinese, Fast Food, Waffle, Desserts, Shake",3.4,₹600 for two,2.6 km,"Civil Lines, Agra"
Playdium,"Fast Food, Chinese, Beverages, Shake, Desserts",3.6,₹500 for two,4.1 km,"Khandari, Agra"
Solanki Petiz,Fast Food,-,₹100 for two,5.1 km,"Tajganj, Agra"
Bhagat Halwai,"North Indian, Mithai, Street Food",2.9,₹500 for two,6.8 km,"Sikandra, Agra"
Anokhe Paratha,North Indian,3.8,₹200 for two,3 km,"Tajganj, Agra"
Rendezvous - Hotel Howard Plaza,"North Indian, Chinese, Continental, Mughlai, Desserts, Beverages",3.9,"₹2,000 for two",2.5 km,"Hotel Howard Plaza, Tajganj, Agra"
Culinary Junction By Udupi,"North Indian, South Indian, Continental, Beverages",4.2,₹800 for two,4.3 km,"Tajganj, Agra"
The Bar - Trident Hotel,Finger Food,3.9,"₹2,000 for two",4.3 km,"Trident Hotel, Tajganj, Agra"
Meet N Eat,"Fast Food, Chinese, Beverages",3.8,₹400 for two,5.8 km,"Dayal Bagh, Agra"
"Frozen Bottle - Milkshakes, Desserts And Ice Cream","Shake, Beverages, Desserts, Ice Cream, Waffle, Healthy Food",3.3,₹400 for two,5.5 km,"Lohamandi, Agra"
Lights Out - Lounge & Roofpark,"Bar Food, Finger Food, North Indian, Chinese, Continental, BBQ, Italian",4.1,"₹1,400 for two",2.5 km,"Civil Lines, Agra"
Badlav Chai Point,"Fast Food, Beverages, Tea, Coffee, Burger, Shake, Sandwich",3.7,₹300 for two,2.6 km,"Civil Lines, Agra"
Bhagya Ratan Food Circle,"North Indian, South Indian, Street Food, Chinese",3.5,₹400 for two,7.2 km,"Sikandra, Agra"
Badlav Chai Point,"Tea, Coffee, Shake, Beverages, Pizza, Sandwich, Fast Food, Street Food",3.5,₹300 for two,4.3 km,"Gopal Pura, Agra"
Pushpak Misthan Bhandar Sweets And Snack,Mithai,-,₹300 for two,1.6 km,"Civil Lines, Agra"
Jenith Fast Food,"North Indian, South Indian, Continental",3.0,₹300 for two,600 m,"Mantola, Agra"
Gupta Ji Dhaba & Veg Briyani,North Indian,3.8,₹500 for two,7.2 km,"Sikandra, Agra"
Hangout - The Lounge Bar,"Finger Food, Chinese, North Indian, Oriental, Continental, Desserts, Beverages",3.9,"₹1,500 for two",5.6 km,"Lohamandi, Agra"
Tiwari Bombay Style Bhel And Panipuri,Street Food,3.8,₹100 for two,2.5 km,"Agra Cantt, Agra"
Silver Spoon,"North Indian, Chinese, Continental, Pizza",4.4,₹950 for two,4 km,"Tajganj, Agra"
Laziz Family Restaurant,North Indian,3.1,₹500 for two,1.9 km,"Mantola, Agra"
Khan Sahab Restaurant,"North Indian, Mughlai, Chinese, Biryani, Beverages",3.5,₹600 for two,2.5 km,"Tajganj, Agra"
Dandigul Food Circle,"Biryani, South Indian, Chinese, Street Food",4.0,₹200 for two,4.6 km,"Khandari, Agra"
Bansal Sweets,Mithai,3.9,₹250 for two,3.2 km,"Shahganj, Agra"
SUMAC - Hotel Royale Regent,"North Indian, Continental, Fast Food, Oriental, Desserts, Beverages",3.9,"₹1,400 for two",5.4 km,"Tajganj, Agra"
Chacha Ji Ka Dhaba,"North Indian, Mughlai",3.9,₹500 for two,2.8 km,"Lohamandi, Agra"
Bamboo Cafe,"North Indian, Chinese, Street Food, Sandwich, Fast Food",3.0,₹500 for two,3.8 km,"Tajganj, Agra"
Chennai Kings,"South Indian, Sandwich, Fast Food, Beverages, Desserts, Burger, Chinese",3.9,₹500 for two,4.1 km,"Dayal Bagh, Agra"
Pandit Bhojnalaya,"North Indian, South Indian, Chinese",3.8,₹350 for two,5.2 km,"Khandari, Agra"
Cafe Hideout,"North Indian, Chinese, Continental, Biryani, BBQ, Coffee, Pizza, Pasta",-,₹600 for two,5.7 km,"Sikandra, Agra"
Winni Cakes And More,"Bakery, Desserts, Pizza, Sandwich, Wraps, Pasta, Waffle",3.9,₹500 for two,7.5 km,"Sikandra, Agra"
Rolls Cavalry,"Fast Food, Rolls, Chinese, North Indian, Momos, Shake, Sichuan",4.5,₹200 for two,3.9 km,"Lohamandi, Agra"
Pandit Ji Bhojhnalaya,North Indian,3.3,₹300 for two,11 km,"Sikandra, Agra"
Desire Bakers,"Bakery, Desserts",4.0,₹300 for two,3.2 km,"Kamla Nagar, Agra"
Anna Samrat Restaurant,"South Indian, North Indian, Chinese, Ice Cream, Beverages",3.9,₹600 for two,3.8 km,"Kamla Nagar, Agra"
New Pushpak Misthan Bhandar,"Mithai, Street Food",3.7,₹400 for two,1.2 km,"Rakabganj, Agra"
Brijwasi Sweet House,"Mithai, Desserts",3.7,₹400 for two,5.9 km,"Dayal Bagh, Agra"
Jain Bhojnalaya,North Indian,3.8,₹200 for two,5.2 km,"Khandari, Agra"
Healthmafia,"North Indian, Fast Food, South Indian, Momos, Biryani",4.1,₹450 for two,3.9 km,"Trans Yamuna, Agra"
Deshraj Dhaba,"Mughlai, Biryani",3.9,₹400 for two,954 m,"Civil Lines, Agra"
Square 99 Scoops & Cafe,"Chinese, North Indian, Fast Food",3.9,₹300 for two,4.5 km,"Shahganj, Agra"
Apna Cafe,"Fast Food, Pizza, Street Food, Chinese, Desserts, Shake, Coffee, Beverages",3.4,₹400 for two,2.6 km,"Tajganj, Agra"
"Daawat-E-Nawab - Taj Hotel & Convention Centre, Tajganj","North Indian, Mughlai, Kebab, Biryani",4.3,"₹2,800 for two",4.3 km,"Taj Hotel & Convention Centre, Tajganj, Agra"
Pandit Ji Shudh Shakahari Bhojnalaya,North Indian,3.7,₹400 for two,4.6 km,"Dayal Bagh, Agra"
Shri Krishna Bhojanalaya,North Indian,3.3,₹400 for two,2.7 km,"Civil Lines, Agra"
Royal Rolls,"Rolls, Fast Food, Beverages, Pizza, Burger",3.7,₹350 for two,4.4 km,"Tajganj, Agra"
Hungernomia,"Burger, Fast Food, Pizza, Sandwich, Wraps, Beverages, Italian",3.9,₹500 for two,2.5 km,"Civil Lines, Agra"
Sri Dauji Restaurant,"Mithai, Street Food",3.6,₹300 for two,3.9 km,"Kamla Nagar, Agra"
Agarwal Sweets & Dairy,"Mithai, Street Food",3.8,₹250 for two,6 km,"Shahganj, Agra"
Munna Dhaba,North Indian,3.6,₹500 for two,3.9 km,"Arjun Nagar, Agra"
Spice Aroma,"North Indian, Fast Food, Beverages",3.5,₹300 for two,4.3 km,"Arjun Nagar, Agra"
Chatorelal Food Court,"South Indian, Chinese, Fast Food, Street Food, North Indian, Momos",2.7,₹250 for two,4 km,"Agra Cantt, Agra"
Momo Cartel,"Momos, Chinese, Shake",3.8,₹350 for two,5.8 km,"Sikandra, Agra"
Shiva Bhojnalaya,North Indian,2.7,₹300 for two,5.2 km,"Khandari, Agra"
Jawahar Hotel,North Indian,3.8,₹300 for two,3.8 km,"Dayal Bagh, Agra"
What The Frozen,"Italian, Continental, Pasta, Healthy Food, Shake, Burger, Sandwich, Wraps",3.8,₹350 for two,3.7 km,"Khandari, Agra"
New Vishal Dhaba,"Momos, Chinese, Street Food, South Indian, North Indian",3.9,₹450 for two,3.7 km,"Khandari, Agra"
Vada Pav King,"Fast Food, Street Food, Beverages",3.7,₹350 for two,4.1 km,"Shahganj, Agra"
Shiva Dhaba,"North Indian, Mughlai",3.8,₹500 for two,2 km,"Civil Lines, Agra"
Dear Shoppy,"Fast Food, Sichuan",4.1,₹200 for two,4.6 km,"Khandari, Agra"
Baba Chicken Mutton,"Mughlai, North Indian",4.0,₹500 for two,6.8 km,"Sikandra, Agra"
Shyam Ji Restaurant,"North Indian, Chinese, South Indian, Desserts, Ice Cream, Beverages",3.9,₹500 for two,3.8 km,"Arjun Nagar, Agra"
Taste Of Tongue,"North Indian, Fast Food, Chinese, Street Food, Beverages",4.3,₹200 for two,5.5 km,"Dayal Bagh, Agra"
Shivam Restaurant,"Fast Food, North Indian, Chinese, Desserts",3.3,₹350 for two,3.8 km,"Agra Cantt, Agra"
"Tea Lounge - Taj Hotel & Convention Centre, Tajganj","Cafe, Pizza, Beverages",3.4,"₹1,100 for two",4.3 km,"Taj Hotel & Convention Centre, Tajganj, Agra"
Dhaba 59,"North Indian, Chinese, Fast Food, Beverages",3.5,₹500 for two,5 km,"Tajganj, Agra"
Kerala Coast Thattukada,"Kerala, South Indian, Chinese, Biryani, Beverages",3.3,₹400 for two,2.3 km,"Agra Cantt, Agra"
Zorko,"Pasta, Burger, Pizza, Sandwich, Fast Food, Street Food, Shake, Beverages",-,₹300 for two,4 km,"Tajganj, Agra"
Selfie Restaurant,North Indian,3.7,₹300 for two,5.6 km,"Lohamandi, Agra"
Moti Palace Restaurant And Bar,"North Indian, Chinese",3.8,"₹1,000 for two",1.4 km,"Rakabganj, Agra"
Hashim Restaurant,North Indian,3.5,₹400 for two,4.8 km,"Shahganj, Agra"
Moon Bar & Restaurant,"North Indian, Street Food, South Indian",3.9,"₹1,400 for two",6.7 km,"Sikandra, Agra"
Formula Rossa,"South Indian, Rolls",-,₹300 for two,2.2 km,"Agra Cantt, Agra"
Chota Mama Chicken Mama Veg,"North Indian, Chinese, Rolls, Mughlai, Momos, Beverages",3.0,₹550 for two,4.1 km,"Shahganj, Agra"
Dharamraj Yadav Bhojnalya,North Indian,3.9,₹200 for two,2.8 km,"Civil Lines, Agra"
Dalchini Homemade Meals,"North Indian, Seafood, Biryani, Street Food",3.9,₹500 for two,6.3 km,"Dayal Bagh, Agra"
Punjabi Hut,"North Indian, Biryani, Mughlai",3.7,₹500 for two,3.3 km,"Shahganj, Agra"
Raj Restaurant,North Indian,3.9,₹250 for two,2.8 km,"Arjun Nagar, Agra"
Cheesy Bees,"Fast Food, Chinese, Italian, Pizza, Burger, Sandwich, Beverages",3.0,₹300 for two,4.6 km,"Khandari, Agra"
Diamond Restaurant And Bar,"North Indian, Mughlai, Rolls, Finger Food",3.9,₹800 for two,2.7 km,"Civil Lines, Agra"
Cafe Choco Craze,"Cafe, Shake, Beverages, Pizza, Momos, Fast Food, Waffle, Desserts",3.9,₹650 for two,5.9 km,"Shahganj, Agra"
Mor Mukut Mithai Wale,Mithai,3.6,₹250 for two,1.4 km,"Mantola, Agra"
