Restaurent name,Cuisine types,Rating,Price,Distance,Location,City
Kake Di Hatti,"North Indian, Beverages",4.2,₹500 for two,2.7 km,"New Palasia, Indore",Indore
Golden Aura Hotel,"North Indian, Chinese, Salad, Kebab, Desserts, Beverages",New,"₹1,000 for two",8 km,"Vijay Nagar, Indore",Indore
Hill's View - Papaya Tree Hotel,"North Indian, Italian, Continental, Chinese, Oriental, Bar Food, Desserts, Beverages",4.4,"₹1,600 for two",12.1 km,"Papaya Tree Hotel, Indore",Indore
Banger,"Continental, Asian, Bar Food, Beverages",3.9,"₹2,500 for two",5.8 km,"Vijay Nagar, Indore",Indore
Go Bananas - Sayaji Hotel,"Italian, Mexican",4.1,"₹1,400 for two",4.4 km,"Sayaji Hotel, Vijay Nagar, Indore",Indore
Zoku - Your Asian Fix,North Indian,New,₹200 for two,6.6 km,"By Pass Road (North), Indore",Indore
Echidna Restobrew,"Mediterranean, Asian, Italian, North Indian, Mughlai, Biryani, Desserts, Beverages",3,"₹1,400 for two",7.1 km,"By Pass Road (North), Indore",Indore
Angaraa,"North Indian, Chinese, Fast Food, Salad, Desserts, Beverages",3.1,₹800 for two,3.8 km,"Old Palasia, Indore",Indore
Mr. Beans,"Cafe, Coffee, Tea, Shake, Italian, Continental, Salad, Desserts",4,₹800 for two,4.1 km,"Old Palasia, Indore",Indore
Dhaba Junction,"North Indian, Mughlai, Kebab, Biryani",4.2,"₹1,000 for two",5.6 km,"Rajendra Nagar, Indore",Indore
Biryani By Kilo,"Biryani, Hyderabadi, Kebab, North Indian, Ice Cream, Desserts",4.4,₹600 for two,4.8 km,"Vijay Nagar, Indore",Indore
Striker Pub & Kitchen,"Mexican, Italian, Asian, Sushi, North Indian, Bar Food, Desserts, Beverages",4.8,"₹2,200 for two",6.1 km,"Vijay Nagar, Indore",Indore
Drinx Exchange,"Bar Food, North Indian, Chinese, Thai, Continental, Italian, Desserts, Beverages",4.3,"₹2,500 for two",4.2 km,"Vijay Nagar, Indore",Indore
