Restaurent name,Cuisine types,Rating,Price,Distance,Location,City
Taste Of Tongue,"North Indian, Fast Food, Chinese, Street Food, Beverages",4.3,₹200 for two,5.5 km,"Dayal Bagh, Agra",Agra
Shivam Restaurant,"Fast Food, North Indian, Chinese, Desserts",3.3,₹350 for two,3.8 km,"Agra Cantt, Agra",Agra
"Tea Lounge - Taj Hotel & Convention Centre, Tajganj","Cafe, Pizza, Beverages",3.4,"₹1,100 for two",4.3 km,"Taj Hotel & Convention Centre, Tajganj, Agra",Agra
Dhaba 59,"North Indian, Chinese, Fast Food, Beverages",3.5,₹500 for two,5 km,"Tajganj, Agra",Agra
Kerala Coast Thattukada,"Kerala, South Indian, Chinese, Biryani, Beverages",3.3,₹400 for two,2.3 km,"Agra Cantt, Agra",Agra
Zorko,"Pasta, Burger, Pizza, Sandwich, Fast Food, Street Food, Shake, Beverages",-,₹300 for two,4 km,"Tajganj, Agra",Agra
Selfie Restaurant,North Indian,3.7,₹300 for two,5.6 km,"Lohamandi, Agra",Agra
Moti Palace Restaurant And Bar,"North Indian, Chinese",3.8,"₹1,000 for two",1.4 km,"Rakabganj, Agra",Agra
Hashim Restaurant,North Indian,3.5,₹400 for two,4.8 km,"Shahganj, Agra",Agra
Moon Bar & Restaurant,"North Indian, Street Food, South Indian",3.9,"₹1,400 for two",6.7 km,"Sikandra, Agra",Agra
Formula Rossa,"South Indian, Rolls",-,₹300 for two,2.2 km,"Agra Cantt, Agra",Agra
Chota Mama Chicken Mama Veg,"North Indian, Chinese, Rolls, Mughlai, Momos, Beverages",3,₹550 for two,4.1 km,"Shahganj, Agra",Agra
Dharamraj Yadav Bhojnalya,North Indian,3.9,₹200 for two,2.8 km,"Civil Lines, Agra",Agra
Dalchini Homemade Meals,"North Indian, Seafood, Biryani, Street Food",3.9,₹500 for two,6.3 km,"Dayal Bagh, Agra",Agra
Punjabi Hut,"North Indian, Biryani, Mughlai",3.7,₹500 for two,3.3 km,"Shahganj, Agra",Agra
Raj Restaurant,North Indian,3.9,₹250 for two,2.8 km,"Arjun Nagar, Agra",Agra
Cheesy Bees,"Fast Food, Chinese, Italian, Pizza, Burger, Sandwich, Beverages",3,₹300 for two,4.6 km,"Khandari, Agra",Agra
Diamond Restaurant And Bar,"North Indian, Mughlai, Rolls, Finger Food",3.9,₹800 for two,2.7 km,"Civil Lines, Agra",Agra
Cafe Choco Craze,"Cafe, Shake, Beverages, Pizza, Momos, Fast Food, Waffle, Desserts",3.9,₹650 for two,5.9 km,"Shahganj, Agra",Agra
Mor Mukut Mithai Wale,Mithai,3.6,₹250 for two,1.4 km,"Mantola, Agra",Agra
Jeetu Dhaba,"North Indian, Mughlai",3.6,₹500 for two,3.2 km,"Kamla Nagar, Agra",Agra
Haji Salim Sweet House,"Mithai, Desserts",3.9,₹400 for two,1.7 km,"Mantola, Agra",Agra
Hotel Anjuman,"North Indian, Chinese, Street Food, Fast Food, Seafood, Biryani, Mughlai, Beverages",3.8,₹600 for two,3.2 km,"Kamla Nagar, Agra",Agra
D Delite Vegetarian Restaurant,"North Indian, Chinese, South Indian, Fast Food",3.9,₹600 for two,2.8 km,"Civil Lines, Agra",Agra
Beeryanee,"North Indian, Mughlai",4.2,₹500 for two,3.6 km,"Khandari, Agra",Agra
Khanaa Khazanaa,"North Indian, Continental, Fast Food",4,₹400 for two,5.8 km,"Dayal Bagh, Agra",Agra
New Laziz Chicken Briyani,Biryani,3.2,₹300 for two,3.9 km,"Shahganj, Agra",Agra
Kings,"Burger, Sandwich, Rolls",3.9,₹200 for two,3.9 km,"Kamla Nagar, Agra",Agra
Drunken Monkey,"Beverages, Juices, Shake, Coffee, Healthy Food, Drinks Only",3.6,₹450 for two,2.5 km,"Tajganj, Agra",Agra
Baba Bakers,"Bakery, Pizza, Burger, Sandwich, Street Food",3.5,₹300 for two,8.9 km,"Sikandra, Agra",Agra
Distil - The Lounge Bar,"Chinese, North Indian, Beverages",3.9,"₹1,600 for two",2.6 km,"Civil Lines, Agra",Agra
New Gopal Dhaba,"North Indian, Chinese",3.7,₹300 for two,9.7 km,"Gopal Pura, Agra",Agra
Tandoori Flames,"Rolls, North Indian, Momos, Pasta, Sandwich, Fast Food, Chinese",3.9,₹400 for two,4.7 km,"Tajganj, Agra",Agra
AJ's Cafe & Bakery,"Bakery, Desserts, Fast Food, Pizza, Beverages",3.2,₹500 for two,2.4 km,"Agra Cantt, Agra",Agra
Laxman Fast Food,Fast Food,3.5,₹200 for two,2.8 km,"Civil Lines, Agra",Agra
20-20 Fast Food,"South Indian, Fast Food, Momos",3.9,₹150 for two,5.1 km,"Dayal Bagh, Agra",Agra
Shri Kanha Foods,North Indian,3.5,₹300 for two,3.5 km,"Agra Cantt, Agra",Agra
Jux Pux,"Fast Food, Shake, Waffle, Beverages",3.1,₹300 for two,2.7 km,"Civil Lines, Agra",Agra
Xhale,"Chinese, Italian, Fast Food, Rolls, Beverages",3.9,₹500 for two,2.2 km,"Agra Cantt, Agra",Agra
B&B Restro,"North Indian, South Indian, Fast Food, Chinese, Beverages, Street Food, Pizza, Pasta",3.8,₹500 for two,4.4 km,"Tajganj, Agra",Agra
Mercury Cafe,"Cafe, Sandwich, Fast Food, Burger, Pizza, Desserts, Beverages",3.6,₹800 for two,4.4 km,"Tajganj, Agra",Agra
Mothers Milkshakes,"Beverages, Fast Food, Desserts",3.9,₹300 for two,4.4 km,"Civil Lines, Agra",Agra
The Greens Restaurant & Herbal Cafe,"North Indian, South Indian, Chinese, Continental",3.6,₹800 for two,1.5 km,"Rakabganj, Agra",Agra
Street 36,"North Indian, Beverages",3.6,₹150 for two,2.7 km,"Khandari, Agra",Agra
Brij Thali,North Indian,3.6,₹200 for two,1.6 km,"Civil Lines, Agra",Agra
Agra Fast Food And Restaurant,"North Indian, South Indian",2.6,₹400 for two,3.3 km,"Tajganj, Agra",Agra
Jawahar Hotel,North Indian,3.6,₹400 for two,4.2 km,"Dayal Bagh, Agra",Agra
Shri Mangalam Dhabha,North Indian,3.6,₹500 for two,6.6 km,"Sikandra, Agra",Agra
Hunger On Wheel Cafe,"Fast Food, Chinese, Desserts",3.8,₹300 for two,4.1 km,"Civil Lines, Agra",Agra
Yo Yo Foods,"North Indian, Chinese, Pizza, Sandwich, Fast Food, Street Food, South Indian, Shake",3.7,₹400 for two,6.4 km,"Shahganj, Agra",Agra
Mr Dosa,"South Indian, Chinese, Pizza, Sandwich, Fast Food, Street Food, Shake, Beverages",3.9,₹500 for two,2.4 km,"Agra Cantt, Agra",Agra
Kathi Express,"Rolls, Shawarma, Kebab, Shake",3.8,₹200 for two,1.4 km,"Mantola, Agra",Agra
Vada Pav King,"Maharashtrian, Street Food, Burger, Sandwich, Rolls, Fast Food, Beverages",3.5,₹350 for two,4.3 km,"Tajganj, Agra",Agra
Paatra - Jaypee Palace Hotel,"North Indian, Mughlai",4.3,"₹3,000 for two",4.4 km,"Jaypee Palace Hotel, Tajganj, Agra",Agra
Chai Janeman,"Shake, Beverages, Sandwich, Burger, Street Food, Fast Food",3,₹250 for two,7.8 km,"Sikandra, Agra",Agra
Meals Cafe,"Fast Food, Pizza, Wraps, Sandwich",4.3,₹500 for two,3.5 km,"Civil Lines, Agra",Agra
Barbeque Pizza Junction,"BBQ, Pizza, Burger, Wraps, Sandwich, Momos, Shake, Beverages",3.6,₹300 for two,2.2 km,"Civil Lines, Agra",Agra
Momos Adda,"Street Food, Fast Food, Burger, Momos, Pizza",3.4,₹200 for two,6.3 km,"Sikandra, Agra",Agra
Spice Kitchen,"North Indian, Chinese",3.8,₹800 for two,8.4 km,"Sikandra, Agra",Agra
The Chamber - Kitchen & Taproom,"North Indian, Chinese, Italian, Fast Food, Beverages, Desserts",4,"₹1,200 for two",4.4 km,"Tajganj, Agra",Agra
European Bakery,"Bakery, Desserts",3.7,₹300 for two,2.9 km,"Civil Lines, Agra",Agra
Brijwasi Petha,Mithai,3.5,₹200 for two,1.6 km,"Rakabganj, Agra",Agra
Prince Of Spice,"North Indian, Mughlai, Chinese",3.3,₹750 for two,4.3 km,"Tajganj, Agra",Agra
Desi Masala,"Chinese, Fast Food",3.9,₹350 for two,1.2 km,"Rakabganj, Agra",Agra
Agra Burger Club,"Burger, Fast Food, Sandwich, Pasta, Chinese, Beverages",3.3,₹400 for two,5 km,"Shahganj, Agra",Agra
Shri Mohan Hotel,North Indian,3.1,₹300 for two,355 m,"Rakabganj, Agra",Agra
Big Crust,"Pizza, Pasta, Shake, Desserts, Fast Food",3,₹500 for two,3.7 km,"Khandari, Agra",Agra
Heart Of Taj Cafe,"North Indian, Mughlai, Chinese, Fast Food, Biryani, Street Food",2.9,₹400 for two,3.8 km,"Tajganj, Agra",Agra
Amrut Restaurant,Chinese,3.1,₹300 for two,4.1 km,"Dayal Bagh, Agra",Agra
Hotel Taj Plaza,"North Indian, Fast Food, Beverages, Chinese",3.6,₹500 for two,4.6 km,"Tajganj, Agra",Agra
Pizza House Family Restaurant,"Pizza, Burger, Sandwich, Fast Food, Chinese, Shake, Beverages",3.4,₹350 for two,5.8 km,"Shahganj, Agra",Agra
Karan Restaurant,"Chinese, North Indian, Fast Food, Continental, Beverages, Desserts",3.9,"₹1,200 for two",2.5 km,"Hotel Ganga Ratan, Tajganj, Agra",Agra
Shivam Restaurant,"North Indian, Fast Food",3.8,₹500 for two,3.2 km,"Tajganj, Agra",Agra
Tandoori Night,"North Indian, Fast Food, Chinese, South Indian, Rolls",3.8,₹600 for two,6.4 km,"Sikandra, Agra",Agra
Freaky Burger,"Burger, Fast Food, Beverages, Pizza, Sandwich",3.4,₹450 for two,5.8 km,"Tajganj, Agra",Agra
Best Cake Bakers,"Bakery, Fast Food, Desserts, Shake",3.5,₹400 for two,5 km,"Tajganj, Agra",Agra
Wok To Fork,"Fast Food, Beverages",3.8,₹200 for two,2.4 km,"Civil Lines, Agra",Agra
Arabian Bites,"Burger, Fast Food",3.5,₹250 for two,4.8 km,"Tajganj, Agra",Agra
YED Foods,"North Indian, Fast Food",3.9,₹200 for two,3.2 km,"Civil Lines, Agra",Agra
Banarasi Kitchen,"Street Food, Chinese, North Indian",3.9,₹500 for two,8.3 km,"Sikandra, Agra",Agra
Chanchal Hotel,North Indian,2.9,₹300 for two,3.5 km,"Agra Cantt, Agra",Agra
The Momo Heaven,"Fast Food, Momos, Beverages",3.5,₹250 for two,1.2 km,"Civil Lines, Agra",Agra
The Global Savour,"North Indian, Chinese, Fast Food, Street Food",4,₹800 for two,3.8 km,"Tajganj, Agra",Agra
Kitchen On Fire,"North Indian, Mughlai, Fast Food",3.3,₹500 for two,2.5 km,"Civil Lines, Agra",Agra
Shri Anand  Sakahari Bhojan,North Indian,3.1,₹350 for two,2.7 km,"Civil Lines, Agra",Agra
Tarachand Dhaba,North Indian,3.8,₹250 for two,1.1 km,"Civil Lines, Agra",Agra
Chicken Point,"North Indian, Biryani, Rolls, Chinese",3.7,₹650 for two,6.3 km,"Trans Yamuna, Agra",Agra
