Restaurent name,Cuisine types,Rating,Price,Distance,Location,City
Xero Degrees,"Cafe, Coffee, Beverages, Continental, Sandwich, Fast Food, Salad, Waffle",3.2,500.0,3.1,"Khandari, Agra",Agra
Azuri,"North Indian, Chinese, Italian, Fast Food, Juices, Beverages",3.374251,350.0,3.5,"Kamla Nagar, Agra",Agra
Sky Train Restaurant,"North Indian, Chinese, Fast Food, Beverages",4.1,400.0,7.0,"Sikandra, Agra",Agra
New Pizza King,"Pizza, Fast Food",3.8,250.0,4.1,"Dayal Bagh, Agra",Agra
UP 80 Resturant,"North Indian, Chinese, South Indian, Fast Food",3.9,100.0,5.8,"Dayal Bagh, Agra",Agra
GMB - Gopika Sweets & Restaurant,"North Indian, South Indian, Chinese, Fast Food, Street Food, Mithai",3.8,250.0,2.7,"Tajganj, Agra",Agra
AAAAR RESTRO,"Pizza, Fast Food",3.3,150.0,3.7,"Kamla Nagar, Agra",Agra
Aahar,"North Indian, South Indian, Chinese, Bakery, Continental, Desserts, Beverages",4.0,350.0,2.7,"Civil Lines, Agra",Agra
Bikaner Express,"North Indian, South Indian, Chinese, Street Food, Beverages",3.5,300.0,3.6,"Kamla Nagar, Agra",Agra
Achman Foods,"North Indian, South Indian, Street Food, Desserts, Beverages",4.1,200.0,3.7,"Khandari, Agra",Agra
Sheroes Hangout,"North Indian, Chinese, Fast Food",4.7,300.0,4.1,"Tajganj, Agra",Agra
Deviram Food Circle,"Mithai, Fast Food, Street Food, North Indian, Desserts, Shake",3.9,150.0,7.2,"Sikandra, Agra",Agra
Berco's - If You Love Chinese,"Chinese, Thai, Asian",4.3,700.0,2.5,"Civil Lines, Agra",Agra
Pizza Cafe,"Pizza, Fast Food, Street Food, Desserts",3.374251,200.0,4.8,"Kamla Nagar, Agra",Agra
Burger Farm,"Burger, Wraps, Fast Food, Beverages",3.374251,450.0,4.3,"Tajganj, Agra",Agra
Capri Restaurant,"North Indian, Mughlai",3.5,425.0,2.7,"Civil Lines, Agra",Agra
The Mud Shakes,"Beverages, Shake, Waffle, Fast Food",4.1,100.0,2.7,"Khandari, Agra",Agra
Hello Anna,"South Indian, Chinese, Fast Food, Street Food, Ice Cream, Shake",3.0,500.0,6.2,"Sikandra, Agra",Agra
The Indian Curry,"North Indian, Chinese, Oriental, Continental, Desserts, Beverages",3.9,900.0,3.1,"Kamla Nagar, Agra",Agra
Subway,"Healthy Food, Sandwich, Fast Food, Wraps, Salad, Beverages",3.9,200.0,3.2,"Civil Lines, Agra",Agra
The Mughal Room - Hotel Clarks Shiraz,"North Indian, Mughlai, Chinese, Beverages, Desserts",4.3,1300.0,2.4,"Hotel Clarks Shiraz, Agra Cantt, Agra",Agra
Taj Terrace - Hotel Taj Resorts,"North Indian, Continental, Chinese, Beverages, Desserts, Shake",4.2,500.0,3.3,"Tajganj, Agra",Agra
Eight Herbs Café,"Cafe, Fast Food, Sandwich, Burger, Pizza, Momos, Waffle, Beverages",3.374251,450.0,2.6,"Civil Lines, Agra",Agra
Fakira,"North Indian, Chinese, Continental, Fast Food, Beverages",4.2,1100.0,5.6,"Lohamandi, Agra",Agra
The Sky Restaurant,"North Indian, Chinese",3.9,400.0,7.0,"Sikandra, Agra",Agra
Burger King,"Burger, Fast Food, Beverages",3.8,175.0,4.0,"Khandari, Agra",Agra
Manoj Dhaba,North Indian,3.9,250.0,3.8,"Dayal Bagh, Agra",Agra
Retro Thrill Cafe,"Fast Food, Pizza, Burger, Rolls, Chinese, North Indian, Biryani, Beverages",3.9,400.0,5.8,"Sikandra, Agra",Agra
Pushpak Misthan Bhandar and Sweet,"Mithai, Street Food",4.4,50.0,1.3,"Mantola, Agra",Agra
Gopaldas Pethe Wale,"Mithai, Street Food",3.5,125.0,3.5,"Tajganj, Agra",Agra
The Waffle Co.,"Waffle, Sandwich, Bakery, Shake, Coffee, Beverages",3.374251,200.0,2.5,"Civil Lines, Agra",Agra
Henry's The English Pub - Radisson Hotel Agra,"Continental, Fast Food, Desserts",3.9,1700.0,4.2,"Radisson Hotel Agra, Tajganj, Agra",Agra
Starbucks Coffee,"Cafe, Coffee, Fast Food",3.374251,450.0,4.3,"Tajganj, Agra",Agra
Deviram Sweets & Restaurant,"Mithai, North Indian, Fast Food, Beverages, Desserts, South Indian",4.2,325.0,1.8,"Rakabganj, Agra",Agra
Sardar G Malai Chaap Junction,"North Indian, Rolls, Momos",3.8,150.0,2.6,"Civil Lines, Agra",Agra
Mughal Pavilion - ITC Mughal,"North Indian, Chinese, Continental",4.0,1250.0,3.1,"ITC Mughal, Tajganj, Agra",Agra
De Eros Cafe,"Cafe, Coffee",3.374251,150.0,4.9,"Shahganj, Agra",Agra
Manoj Restaurant,"South Indian, Chinese, North Indian",4.1,150.0,0.546,"Mantola, Agra",Agra
Merry Go Round,"North Indian, Chinese, Continental, Fast Food",3.0,650.0,4.5,"Hotel Pushp Villa, Tajganj, Agra",Agra
Cake Wala,Bakery,3.6,150.0,2.7,"Agra Cantt, Agra",Agra
Temptation,"North Indian, Chinese, Fast Food",4.1,500.0,3.8,"Kamla Nagar, Agra",Agra
Om Restaurant,"North Indian, Beverages",3.6,200.0,2.5,"Agra Cantt, Agra",Agra
Papa Ji Da Dhaba,North Indian,4.2,125.0,2.7,"Civil Lines, Agra",Agra
Theobroma,"Bakery, Desserts",3.374251,150.0,3.2,"Khandari, Agra",Agra
Sarpanch,"North Indian, South Indian, Fast Food, Chinese, Coffee, Ice Cream",3.374251,300.0,2.8,"Civil Lines, Agra",Agra
Dasaprakash - A South Indian Cafe,South Indian,3.3,400.0,2.7,"Tajganj, Agra",Agra
Golden China Restaurant,"Chinese, Rolls, North Indian, Mughlai, Biryani, Italian, Desserts, Beverages",3.7,500.0,3.5,"Tajganj, Agra",Agra
Brijwasi  Sweets & Restaurant,"Mithai, North Indian, South Indian, Fast Food, Shake",3.7,175.0,2.4,"Civil Lines, Agra",Agra
Bhoji,"North Indian, Fast Food, Burger, Shake",3.7,175.0,4.0,"Shahganj, Agra",Agra
The Forest,"North Indian, Italian, Chinese",4.0,400.0,5.5,"Sikandra, Agra",Agra
